timestamp,file,duration_s,sample_rate,raw_peak,e_raw,rms,clip_rate,zcr,crest_factor,hf_ratio,b3_decision,b3_reason,b4_mode,b4_label,b4_flags,b5_status
27.03.2026; 15.56,/home/pi/pi-iot/audio/window_27-03-2026_15-56-52.wav,5,44100,0.071505,0.008735,0.011076,0.0,,,,DROP,weak signal — E_raw 0.0087<0.015 · RMS 0.0111<0.02 · peak 0.0715<0.35,not run,not run,,not run
27.03.2026; 15.56,/home/pi/pi-iot/audio/window_27-03-2026_15-56-57.wav,5,44100,0.043703,0.009132,0.011441,0.0,,,,DROP,weak signal — E_raw 0.0091<0.015 · RMS 0.0114<0.02 · peak 0.0437<0.35,not run,not run,,not run
27.03.2026; 15.57,/home/pi/pi-iot/audio/window_27-03-2026_15-57-02.wav,5,44100,1.000031,0.03202,0.056609,0.000295,0.01859,17.6657,0.022653,KEEP,ok,LIGHT,low-activity background,1,not activated (LIGHT path)
27.03.2026; 15.57,/home/pi/pi-iot/audio/window_27-03-2026_15-57-08.wav,5,44100,1.000031,0.041518,0.081458,0.000984,0.031696,12.2766,0.019842,KEEP,ok,LIGHT,low-activity background,1,not activated (LIGHT path)
27.03.2026; 15.57,/home/pi/pi-iot/audio/window_27-03-2026_15-57-13.wav,5,44100,0.540574,0.012194,0.022802,0.0,0.022921,23.707,0.012066,KEEP,ok,LIGHT,low-activity background,1,not activated (LIGHT path)
27.03.2026; 15.57,/home/pi/pi-iot/audio/window_27-03-2026_15-57-18.wav,5,44100,0.041078,0.008137,0.010127,0.0,,,,DROP,weak signal — E_raw 0.0081<0.015 · RMS 0.0101<0.02 · peak 0.0411<0.35,not run,not run,,not run
27.03.2026; 15.57,/home/pi/pi-iot/audio/window_27-03-2026_15-57-23.wav,5,44100,0.036805,0.008253,0.010347,0.0,,,,DROP,weak signal — E_raw 0.0083<0.015 · RMS 0.0103<0.02 · peak 0.0368<0.35,not run,not run,,not run
27.03.2026; 16.10,/home/pi/pi-iot/audio/window_27-03-2026_16-10-43.wav,5,44100,0.094974,0.011998,0.016227,0.0,,,,DROP,weak signal — E_raw 0.0120<0.015 · RMS 0.0162<0.02 · peak 0.0950<0.35,not run,not run,,not run
27.03.2026; 16.10,/home/pi/pi-iot/audio/window_27-03-2026_16-10-48.wav,5,44100,0.04474,0.008805,0.011076,0.0,,,,DROP,weak signal — E_raw 0.0088<0.015 · RMS 0.0111<0.02 · peak 0.0447<0.35,not run,not run,,not run
27.03.2026; 16.10,/home/pi/pi-iot/audio/window_27-03-2026_16-10-53.wav,5,44100,0.048006,0.010372,0.012973,0.0,,,,DROP,weak signal — E_raw 0.0104<0.015 · RMS 0.0130<0.02 · peak 0.0480<0.35,not run,not run,,not run
