time_sec,prob_chainsaw
0.000,0.023143
0.250,0.050140
0.500,0.012756
0.750,0.003294
1.000,0.000741
1.250,0.000268
1.500,0.000138
1.750,0.002229
2.000,0.017088
2.250,0.014354
2.500,0.007983
2.750,0.002744
3.000,0.002326
3.250,0.027209
3.500,0.265617
3.750,0.487662
4.000,0.492530
4.250,0.548974
4.500,0.412802
4.750,0.584413
5.000,0.769450
5.250,0.874792
5.500,0.792662
5.750,0.400270
6.000,0.133312
6.250,0.008606
6.500,0.007715
6.750,0.003788
7.000,0.078482
7.250,0.357725
7.500,0.688074
7.750,0.888385
8.000,0.917856
8.250,0.947855
8.500,0.963348
8.750,0.949806
9.000,0.666878
9.250,0.276977
9.500,0.082721
9.750,0.034840
10.000,0.013215
10.250,0.003398
10.500,0.000497
10.750,0.002600
11.000,0.108465
11.250,0.371349
11.500,0.765853
11.750,0.945328
12.000,0.965333
12.250,0.976334
12.500,0.980975
12.750,0.978395
13.000,0.928883
13.250,0.619981
13.500,0.232497
13.750,0.095293
14.000,0.022790
14.250,0.008455
14.500,0.002004
14.750,0.013718
